S-01,40000,Football,2 years,1/29/2016,Barthmaier,Joel
S-02,10000,Swimming,1 year,11/1/2016,Goldstein,Hugh
S-03,8000,Diving,1 year,9/15/2016,Eckert,Katie
S-04,10000,Volleyball,2 years,7/14/2016,Berguin,Marianne
S-05,20000,Softball,2 years,3/27/2016,Zadro,Jean
S-06,30000,Basketball,2 years,9/1/2016,Boulward,Shawn
S-07,15000,Swimming,1 year,3/21/2016,Geng,Lan
S-08,10000,Swimming,1 year,3/17/2016,Telfer,Larry
S-09,40000,Football,2 years,10/1/2016,Vohra,Ashwin
S-10,25000,Golf,1 year,9/1/2016,McElaney,Cleta
S-11,8000,Track,2 years,11/1/2016,Siegel,Joyce
S-12,27000,Basketball,2 years,1/15/2016,Ibtehal,Ahjamu
S-13,20000,Baseball,2 years,11/5/2016,Asfar,Ryan
S-14,30000,Football,2 years,11/4/2016,Chinoso,Austin
S-15,12000,Track,1 year,4/16/2016,Hardy,Caitlyn
S-16,18000,Golf,1 year,10/5/2016,Dutton,Nicole
S-17,41000,Football,2 years,1/3/2009,Prince,Oscar
S-18,26000,Basketball,2 years,10/5/2016,Elraheb,Stephen
S-19,9000,Track,1 year,12/15/2016,Larsen,Dana
S-20,23000,Basketball,2 years,2/28/2016,Gant,Ginetta
S-21,20000,Golf,2 years,5/1/2016,Sharp,Lisa
S-22,26000,Basketball,2 years,11/5/2016,Fernandez,Moises
S-23,35000,Football,2 years,11/15/2016,Matson,Jalpit
S-24,15000,Softball,1 year,10/15/2016,Tilson,Khrystyna
S-25,20000,Baseball,2 years,9/1/2016,Dawson,Curtis
